Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,Dairy,249.8092,OUT049,1999,Tier 1,Supermarket Type1,1.0605727034111398
DRC01,5.92,Regular,Soft Drinks,48.2692,OUT018,2009,Tier 3,Supermarket Type2,-1.0736085825312036
FDN15,17.5,Low Fat,Meat,141.618,OUT049,1999,Tier 1,Supermarket Type1,-0.0013378878951233
FDX07,19.2,Regular,Fruits and Vegetables,182.095,OUT010,1998,Tier 3,Grocery Store,-0.8862633806503426
NCD19,8.93,Low Fat,Household,53.8614,OUT013,1987,Tier 3,Supermarket Type1,-0.7161850176525103
FDP36,10.395,Regular,Baking Goods,51.4008,OUT018,2009,Tier 3,Supermarket Type2,-1.000224517278332
FDO10,13.65,Regular,Snack Foods,57.6588,OUT013,1987,Tier 3,Supermarket Type1,-1.1383592283425612
FDP10,12.8,Low Fat,Snack Foods,107.7622,OUT027,1985,Tier 3,Supermarket Type3,1.2470545633478498
FDH17,16.2,Regular,Frozen Foods,96.9726,OUT045,2002,Tier 2,Supermarket Type1,-0.663089488087197
FDU28,19.2,Regular,Frozen Foods,187.8214,OUT017,2007,Tier 2,Supermarket Type1,1.692970677502065
FDY07,11.8,Low Fat,Fruits and Vegetables,45.5402,OUT049,1999,Tier 1,Supermarket Type1,-0.378186646517224
FDA03,18.5,Regular,Dairy,144.1102,OUT046,1997,Tier 1,Supermarket Type1,0.0569376933350983
FDX32,15.1,Regular,Fruits and Vegetables,145.4786,OUT049,1999,Tier 1,Supermarket Type1,-0.3307028395888952
FDS46,17.6,Regular,Snack Foods,119.6782,OUT046,1997,Tier 1,Supermarket Type1,0.0297424220943284
FDF32,16.35,Low Fat,Fruits and Vegetables,196.4426,OUT013,1987,Tier 3,Supermarket Type1,-0.0790386628687523
FDP49,9.0,Regular,Breakfast,56.3614,OUT046,1997,Tier 1,Supermarket Type1,-0.3578981108296654
NCB42,11.8,Low Fat,Health and Hygiene,115.3492,OUT018,2009,Tier 3,Supermarket Type2,-0.3095509619571851
FDP49,9.0,Regular,Breakfast,54.3614,OUT049,1999,Tier 1,Supermarket Type1,-0.8953284710639327
DRI11,12.8,Low Fat,Hard Drinks,113.2834,OUT027,1985,Tier 3,Supermarket Type3,0.1324801134483489
FDU02,13.35,Low Fat,Dairy,230.5352,OUT035,2004,Tier 2,Supermarket Type1,0.4208363227949276
FDN22,18.85,Regular,Snack Foods,250.8724,OUT013,1987,Tier 3,Supermarket Type1,1.0864729617356828
FDW12,12.8,Regular,Baking Goods,144.5444,OUT027,1985,Tier 3,Supermarket Type3,1.273818163616544
NCB30,14.6,Low Fat,Household,196.5084,OUT035,2004,Tier 2,Supermarket Type1,-0.3319978525051223
FDC37,12.8,Low Fat,Baking Goods,107.6938,OUT019,1985,Tier 1,Grocery Store,-1.2221033969252504
FDR28,13.85,Regular,Frozen Foods,165.021,OUT046,1997,Tier 1,Supermarket Type1,1.282883254030134
