Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDL21,15.85,Regular,Snack Foods,41.148,OUT017,2007,Tier 2,Supermarket Type1,-1.000599391163469
FDZ01,8.975,Regular,Canned,104.099,OUT035,2004,Tier 2,Supermarket Type1,0.2447145661880351
NCC54,17.75,Low Fat,Health and Hygiene,241.8196,OUT017,2007,Tier 2,Supermarket Type1,1.3571402605801044
FDB53,13.35,Low Fat,Frozen Foods,147.5392,OUT045,2002,Tier 2,Supermarket Type1,1.152950291435343
NCF43,8.51,Low Fat,Household,141.947,OUT017,2007,Tier 2,Supermarket Type1,-0.0617718239857236
FDL12,12.8,Regular,Baking Goods,59.522,OUT019,1985,Tier 1,Grocery Store,-1.1668495124995584
FDC11,20.5,Low Fat,Starchy Foods,88.2172,OUT049,1999,Tier 1,Supermarket Type1,-0.4318840179558314
DRD60,15.7,Low Fat,Soft Drinks,181.7634,OUT045,2002,Tier 2,Supermarket Type1,0.4187713412294706
FDB23,19.2,Regular,Starchy Foods,226.6062,OUT017,2007,Tier 2,Supermarket Type1,2.004637119340732
FDA40,16.0,Regular,Frozen Foods,88.6856,OUT018,2009,Tier 3,Supermarket Type2,-0.6844092228118998
FDK32,16.25,Regular,Fruits and Vegetables,153.0682,OUT013,1987,Tier 3,Supermarket Type1,0.2385031338759043
FDI16,14.0,Regular,Frozen Foods,53.064,OUT035,2004,Tier 2,Supermarket Type1,-0.7740289279106563
FDP57,17.5,Low Fat,Snack Foods,105.099,OUT010,1998,Tier 3,Grocery Store,-1.2426931521702764
FDB40,17.5,Regular,Dairy,144.2102,OUT035,2004,Tier 2,Supermarket Type1,1.285904950834664
FDK22,12.8,Low Fat,Snack Foods,214.885,OUT027,1985,Tier 3,Supermarket Type3,1.865639066332352
NCL07,12.8,Low Fat,Others,39.548,OUT027,1985,Tier 3,Supermarket Type3,-0.868996541767314
NCA06,20.5,Low Fat,Household,37.219,OUT045,2002,Tier 2,Supermarket Type1,-1.0524567048994935
FDG32,12.8,Low Fat,Fruits and Vegetables,222.0772,OUT019,1985,Tier 1,Grocery Store,-0.7843890312404734
FDR37,12.8,Regular,Breakfast,183.7292,OUT019,1985,Tier 1,Grocery Store,-1.1669026033758747
FDQ27,5.19,Regular,Meat,104.899,OUT035,2004,Tier 2,Supermarket Type1,-0.0324790018984112
DRH23,14.65,Low Fat,Hard Drinks,54.1614,OUT010,1998,Tier 3,Grocery Store,-1.2922196553879606
FDW35,10.6,Low Fat,Breads,41.4454,OUT035,2004,Tier 2,Supermarket Type1,-0.4092669565066756
NCP54,15.35,Low Fat,Household,124.573,OUT018,2009,Tier 3,Supermarket Type2,-0.3229327620915322
FDG20,15.5,Regular,Fruits and Vegetables,177.0028,OUT017,2007,Tier 2,Supermarket Type1,0.246441250076338
FDT16,12.8,Regular,Frozen Foods,258.7278,OUT027,1985,Tier 3,Supermarket Type3,2.183348901780079
FDA02,14.0,Regular,Dairy,143.9786,OUT018,2009,Tier 3,Supermarket Type2,-0.7990658442910479
FDY28,7.47,Regular,Frozen Foods,213.5218,OUT046,1997,Tier 1,Supermarket Type1,0.5400069319072188
FDG09,20.6,Regular,Fruits and Vegetables,188.0556,OUT017,2007,Tier 2,Supermarket Type1,-0.0220580945547577
FDW20,20.75,Low Fat,Fruits and Vegetables,123.973,OUT018,2009,Tier 3,Supermarket Type2,-0.4390884126570142
FDK10,5.785,Regular,Snack Foods,181.366,OUT035,2004,Tier 2,Supermarket Type1,-0.0790386628687523
FDY47,8.6,Regular,Breads,130.531,OUT045,2002,Tier 2,Supermarket Type1,-0.5193430543859835
FDX48,17.75,Regular,Baking Goods,154.2656,OUT018,2009,Tier 3,Supermarket Type2,0.8421471915408272
FDC60,12.8,Regular,Baking Goods,87.9514,OUT027,1985,Tier 3,Supermarket Type3,0.1368538710904636
NCJ30,5.82,Low Fat,Household,167.779,OUT046,1997,Tier 1,Supermarket Type1,0.510192214014601
DRI03,6.03,Low Fat,Dairy,175.1028,OUT049,1999,Tier 1,Supermarket Type1,-0.3276811427843652
FDJ27,17.7,Regular,Meat,100.3674,OUT046,1997,Tier 1,Supermarket Type1,-0.3726277138855242
FDZ44,8.185,Low Fat,Fruits and Vegetables,118.5808,OUT013,1987,Tier 3,Supermarket Type1,-0.3405127949913565
FDL08,10.8,Low Fat,Fruits and Vegetables,246.7144,OUT046,1997,Tier 1,Supermarket Type1,1.974851822267508
NCR05,10.1,Low Fat,Health and Hygiene,200.2084,OUT045,2002,Tier 2,Supermarket Type1,0.6971057449233864
FDV49,10.0,Low Fat,Canned,264.6226,OUT013,1987,Tier 3,Supermarket Type1,1.8734096459416647
FDZ56,16.25,Low Fat,Fruits and Vegetables,168.7474,OUT017,2007,Tier 2,Supermarket Type1,0.5242367705784835
FDF05,12.8,Low Fat,Frozen Foods,261.691,OUT019,1985,Tier 1,Grocery Store,-0.9585483140338078
FDV27,7.97,Regular,Meat,87.3514,OUT045,2002,Tier 2,Supermarket Type1,-0.6721545785007871
DRJ23,18.35,Low Fat,Hard Drinks,190.1872,OUT049,1999,Tier 1,Supermarket Type1,0.5283614967817358
NCT41,15.7,Low Fat,Health and Hygiene,153.5024,OUT045,2002,Tier 2,Supermarket Type1,0.3120552378318471
FDW23,5.765,Low Fat,Baking Goods,40.1164,OUT035,2004,Tier 2,Supermarket Type1,-1.010584620608149
FDY44,14.15,Regular,Fruits and Vegetables,194.411,OUT013,1987,Tier 3,Supermarket Type1,0.6905843426078243
NCR50,20.2,Low Fat,Household,151.434,OUT017,2007,Tier 2,Supermarket Type1,0.2497111533307272
NCD30,19.7,Low Fat,Household,96.5726,OUT049,1999,Tier 1,Supermarket Type1,-0.2895245093472623
FDD26,8.71,Regular,Canned,184.8924,OUT049,1999,Tier 1,Supermarket Type1,0.6548167376071018
DRF36,16.1,Low Fat,Soft Drinks,191.5846,OUT013,1987,Tier 3,Supermarket Type1,0.7190571480234781
FDV28,12.8,Regular,Frozen Foods,35.6558,OUT019,1985,Tier 1,Grocery Store,-1.3257603936019065
FDT40,5.985,Low Fat,Frozen Foods,125.8678,OUT049,1999,Tier 1,Supermarket Type1,-0.3671523633386087
FDA27,12.8,Regular,Dairy,255.5672,OUT027,1985,Tier 3,Supermarket Type3,2.415131926058109
FDD32,17.7,Regular,Fruits and Vegetables,83.2276,OUT010,1998,Tier 3,Grocery Store,-1.2652122811549713
FDM45,8.655,Regular,Snack Foods,122.5756,OUT017,2007,Tier 2,Supermarket Type1,0.053052654586417
FDO13,7.865,Low Fat,Breakfast,166.3526,OUT017,2007,Tier 2,Supermarket Type1,-0.0816286887012066
FDG05,11.0,Regular,Frozen Foods,155.263,OUT049,1999,Tier 1,Supermarket Type1,-0.9553307361824576
FDV52,20.7,Regular,Frozen Foods,119.7466,OUT017,2007,Tier 2,Supermarket Type1,1.2366944600180323
FDV09,12.1,Low Fat,Snack Foods,149.5734,OUT018,2009,Tier 3,Supermarket Type2,0.0828379516596415
DRH01,17.5,Low Fat,Soft Drinks,172.6738,OUT035,2004,Tier 2,Supermarket Type1,0.3084374962457821
FDM44,12.5,Low Fat,Fruits and Vegetables,104.999,OUT045,2002,Tier 2,Supermarket Type1,-0.4243754405293257
NCR05,10.1,Low Fat,Health and Hygiene,197.5084,OUT035,2004,Tier 2,Supermarket Type1,0.5684677952448229
